AM1 1SCF XYZ VECTORS PRECISE GEO-OK CHARGE=0
ibuprofen timing
 
 C      3.48864700 0     2.21687400 0     0.93114300 0   0   0   0
 C      3.78907700 0     1.29314100 0    -0.25207400 0   0   0   0
 C      5.30331400 0     1.13740300 0    -0.41270100 0   0   0   0
 C      3.13699400 0    -0.09311700 0    -0.08290600 0   0   0   0
 C      1.62790800 0    -0.06704500 0    -0.13052600 0   0   0   0
 C      0.95850000 0     0.15207200 0    -1.33995200 0   0   0   0
 C     -0.43767100 0     0.18024200 0    -1.38540600 0   0   0   0
 C     -1.19616700 0    -0.00682200 0    -0.22130600 0   0   0   0
 C     -0.52196100 0    -0.23438200 0     0.98713200 0   0   0   0
 C      0.87433300 0    -0.26243300 0     1.03205500 0   0   0   0
 C     -2.71235000 0     0.02092000 0    -0.29156700 0   0   0   0
 C     -3.32487500 0     1.07577500 0     0.63388800 0   0   0   0
 C     -3.30838600 0    -1.35817000 0    -0.07361400 0   0   0   0
 O     -3.49062900 0    -2.20223400 0    -0.93856900 0   0   0   0
 O     -3.60544900 0    -1.64344900 0     1.21027600 0   0   0   0
 H      3.82305200 0     1.77437400 0     1.87565400 0   0   0   0
 H      2.41709900 0     2.42421900 0     1.01241600 0   0   0   0
 H      3.99831300 0     3.17894600 0     0.81050100 0   0   0   0
 H      3.40459200 0     1.77049300 0    -1.16235100 0   0   0   0
 H      5.54023200 0     0.51482900 0    -1.28196400 0   0   0   0
 H      5.78138700 0     2.11150000 0    -0.56115900 0   0   0   0
 H      5.75134600 0     0.67103300 0     0.47139600 0   0   0   0
 H      3.47295700 0    -0.55166200 0     0.85650200 0   0   0   0
 H      3.48332100 0    -0.76612300 0    -0.87885600 0   0   0   0
 H      1.52174600 0     0.29916600 0    -2.25888300 0   0   0   0
 H     -0.92691600 0     0.34673400 0    -2.34297700 0   0   0   0
 H     -1.07752800 0    -0.39718000 0     1.90861700 0   0   0   0
 H      1.36913800 0    -0.43753600 0     1.98473100 0   0   0   0
 H     -3.01609600 0     0.30807700 0    -1.30815600 0   0   0   0
 H     -3.10191800 0     0.88743700 0     1.68963500 0   0   0   0
 H     -4.41559000 0     1.09149300 0     0.53018200 0   0   0   0
 H     -2.94669200 0     2.07455500 0     0.38903900 0   0   0   0
 H     -3.92419400 0    -2.56980400 0     1.17195500 0   0   0   0
