AM1 1SCF XYZ VECTORS PRECISE GEO-OK CHARGE=0
naphthalene timing
 
 C      2.43413700 0    -0.69590700 0     0.00000000 0   0   0   0
 C      2.43413700 0     0.69590700 0     0.00000000 0   0   0   0
 C      1.22514300 0     1.39365700 0     0.00000000 0   0   0   0
 C      0.00000000 0     0.70706600 0     0.00000000 0   0   0   0
 C     -1.22514400 0     1.39365700 0     0.00000000 0   0   0   0
 C     -2.43413700 0     0.69590700 0     0.00000000 0   0   0   0
 C     -2.43413700 0    -0.69590700 0     0.00000000 0   0   0   0
 C     -1.22514300 0    -1.39365700 0     0.00000000 0   0   0   0
 C      0.00000000 0    -0.70706600 0     0.00000000 0   0   0   0
 C      1.22514300 0    -1.39365700 0     0.00000000 0   0   0   0
 H      3.37478900 0    -1.24023400 0     0.00000000 0   0   0   0
 H      3.37478900 0     1.24023400 0     0.00000000 0   0   0   0
 H      1.24536700 0     2.48103500 0     0.00000000 0   0   0   0
 H     -1.24536700 0     2.48103500 0     0.00000000 0   0   0   0
 H     -3.37478900 0     1.24023400 0     0.00000000 0   0   0   0
 H     -3.37478900 0    -1.24023400 0     0.00000000 0   0   0   0
 H     -1.24536600 0    -2.48103500 0     0.00000000 0   0   0   0
 H      1.24536700 0    -2.48103500 0     0.00000000 0   0   0   0
