AM1 1SCF XYZ VECTORS PRECISE GEO-OK CHARGE=0
caffeine timing
 
 C     -2.14362000 0    -1.51031600 0    -2.20323700 0   0   0   0
 N     -0.82140900 0    -1.18239000 0    -1.73393300 0   0   0   0
 C      0.36028400 0    -1.56567500 0    -2.31131900 0   0   0   0
 N      1.39957400 0    -1.10511100 0    -1.64353300 0   0   0   0
 C      0.85494200 0    -0.40676300 0    -0.60853800 0   0   0   0
 C     -0.50628900 0    -0.43494100 0    -0.63567700 0   0   0   0
 C     -1.31833000 0     0.21588800 0     0.33210100 0   0   0   0
 O     -2.54487000 0     0.18432000 0     0.29853900 0   0   0   0
 N     -0.56962100 0     0.88242200 0     1.30653200 0   0   0   0
 C     -1.28344200 0     1.58741500 0     2.35310000 0   0   0   0
 C      0.83890300 0     0.93476400 0     1.36880600 0   0   0   0
 O      1.41115600 0     1.55187600 0     2.27229300 0   0   0   0
 N      1.54656600 0     0.26308300 0     0.37138200 0   0   0   0
 C      2.99798000 0     0.26789300 0     0.36314300 0   0   0   0
 H     -2.06876700 0    -2.12222000 0    -3.10585900 0   0   0   0
 H     -2.67249600 0    -0.58150700 0    -2.43095700 0   0   0   0
 H     -2.66180400 0    -2.07026700 0    -1.42081000 0   0   0   0
 H      0.40812500 0    -2.17286000 0    -3.20669500 0   0   0   0
 H     -2.36837500 0     1.50898700 0     2.24890900 0   0   0   0
 H     -0.98955300 0     1.17506700 0     3.32397800 0   0   0   0
 H     -1.00003300 0     2.64476800 0     2.32681100 0   0   0   0
 H      3.35914500 0    -0.76308300 0     0.43288400 0   0   0   0
 H      3.34854000 0     0.71710900 0    -0.57148500 0   0   0   0
 H      3.40881700 0     0.83867100 0     1.19999100 0   0   0   0
